EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0519,1,1970/1/1 0:07,912250,-54,149
E2801160600002073A4A0529,1,1970/1/1 0:07,912250,-57,143
E2801160600002073A4A0529,1,1970/1/1 0:07,918250,-53,28
E2801160600002073A4A0529,1,1970/1/1 0:07,918250,-53,28
E2801160600002073A4A0519,1,1970/1/1 0:07,918250,-62,14
E2801160600002073A4A0519,1,1970/1/1 0:07,918250,-62,14
E2801160600002073A4A0529,1,1970/1/1 0:07,918250,-58,106
E2801160600002073A4A0529,1,1970/1/1 0:07,918250,-58,106
E2801160600002073A4A0519,1,1970/1/1 0:07,918250,-59,92
E2801160600002073A4A0519,1,1970/1/1 0:07,918250,-59,92
E2801160600002073A4A0529,1,1970/1/1 0:07,918250,-53,14
E2801160600002073A4A0529,1,1970/1/1 0:07,918250,-53,14
E2801160600002073A4A0519,1,1970/1/1 0:07,918250,-43,154
E2801160600002073A4A0519,1,1970/1/1 0:07,918250,-43,154
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-41,115
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-41,115
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-50,143
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-50,143
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-51,135
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-51,135
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-42,106
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-42,106
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-43,90
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-43,90
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-52,132
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-52,132
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-53,123
E2801160600002073A4A0529,1,1970/1/1 0:07,923250,-53,123
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-43,87
E2801160600002073A4A0519,1,1970/1/1 0:07,923250,-43,87
E2801160600002073A4A0529,1,1970/1/1 0:07,913250,-61,81
E2801160600002073A4A0529,1,1970/1/1 0:07,913250,-61,81
E2801160600002073A4A0519,1,1970/1/1 0:07,913250,-36,123
E2801160600002073A4A0519,1,1970/1/1 0:07,913250,-36,123
E2801160600002073A4A0519,1,1970/1/1 0:07,913250,-38,81
E2801160600002073A4A0519,1,1970/1/1 0:07,913250,-38,81
E2801160600002073A4A0529,1,1970/1/1 0:07,913250,-62,28
E2801160600002073A4A0529,1,1970/1/1 0:07,913250,-62,28
E2801160600002073A4A0519,1,1970/1/1 0:07,913250,-45,132
E2801160600002073A4A0519,1,1970/1/1 0:07,913250,-45,132
E2801160600002073A4A0529,1,1970/1/1 0:07,913250,-57,151
E2801160600002073A4A0529,1,1970/1/1 0:07,913250,-57,151
E2000017221200910820C6AD,1,1970/1/1 0:07,913250,-75,177
E2000017221200910820C6AD,1,1970/1/1 0:07,913250,-75,177
E2801160600002073A4A0519,1,1970/1/1 0:07,905250,-47,137
E2801160600002073A4A0519,1,1970/1/1 0:07,905250,-47,137
E2801160600002073A4A0529,1,1970/1/1 0:07,905250,-50,168
E2801160600002073A4A0529,1,1970/1/1 0:07,905250,-50,168
E2801160600002073A4A0529,1,1970/1/1 0:07,905250,-50,95
E2801160600002073A4A0529,1,1970/1/1 0:07,905250,-50,95
E2801160600002073A4A0519,1,1970/1/1 0:07,905250,-48,53
E2801160600002073A4A0519,1,1970/1/1 0:07,905250,-48,53
E2801160600002073A4A0529,1,1970/1/1 0:07,905250,-52,90
E2801160600002073A4A0529,1,1970/1/1 0:07,905250,-52,90
E2801160600002073A4A0519,1,1970/1/1 0:07,905250,-48,50
E2801160600002073A4A0519,1,1970/1/1 0:07,905250,-48,50
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-53,120
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-53,120
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-57,157
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-57,157
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-54,104
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-54,104
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-45,129
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-45,129
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-48,64
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-48,64
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-42,45
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-42,45
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-32,75
E2801160600002073A4A0529,1,1970/1/1 0:07,923750,-32,75
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-38,84
E2801160600002073A4A0519,1,1970/1/1 0:07,923750,-38,84
E2801160600002073A4A0529,1,1970/1/1 0:07,912750,-30,137
E2801160600002073A4A0529,1,1970/1/1 0:07,912750,-30,137
E2801160600002073A4A0519,1,1970/1/1 0:07,912750,-35,135
E2801160600002073A4A0519,1,1970/1/1 0:07,912750,-35,135
E2801160600002073A4A0529,1,1970/1/1 0:07,912750,-30,146
E2801160600002073A4A0529,1,1970/1/1 0:07,912750,-30,146
E2801160600002073A4A0519,1,1970/1/1 0:07,912750,-35,146
E2801160600002073A4A0519,1,1970/1/1 0:07,912750,-35,146
E2801160600002073A4A0519,1,1970/1/1 0:07,912750,-36,112
E2801160600002073A4A0519,1,1970/1/1 0:07,912750,-36,112
E2801160600002073A4A0529,1,1970/1/1 0:07,912750,-31,120
E2801160600002073A4A0529,1,1970/1/1 0:07,912750,-31,120
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-41,61
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-41,61
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-35,64
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-35,64
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-46,101
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-46,101
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-40,109
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-40,109
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-44,165
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-44,165
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-50,171
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-50,171
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-52,151
E2801160600002073A4A0519,1,1970/1/1 0:07,918750,-52,151
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-46,177
E2801160600002073A4A0529,1,1970/1/1 0:07,918750,-46,177
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-53,45
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-53,45
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-49,67
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-49,67
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-55,5
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-55,5
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-52,151
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-52,151
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-58,75
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-58,75
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-55,106
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-55,106
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-54,120
E2801160600002073A4A0529,1,1970/1/1 0:07,926250,-54,120
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-58,87
E2801160600002073A4A0519,1,1970/1/1 0:07,926250,-58,87
E2801160600002073A4A0519,1,1970/1/1 0:07,921250,-55,149
E2801160600002073A4A0519,1,1970/1/1 0:07,921250,-55,149
E2801160600002073A4A0529,1,1970/1/1 0:07,921250,-51,123
E2801160600002073A4A0529,1,1970/1/1 0:07,921250,-51,123
E2801160600002073A4A0529,1,1970/1/1 0:07,921250,-47,140
E2801160600002073A4A0529,1,1970/1/1 0:07,921250,-47,140
E2801160600002073A4A0519,1,1970/1/1 0:07,921250,-54,137
E2801160600002073A4A0519,1,1970/1/1 0:07,921250,-54,137
E2801160600002073A4A0529,1,1970/1/1 0:07,905750,-41,157
E2801160600002073A4A0529,1,1970/1/1 0:07,905750,-41,157
E2801160600002073A4A0519,1,1970/1/1 0:07,905750,-48,129
